NOTE: Some of these tickers may no longer be supported

ticker	Name	Exchange	type
AUDUSD=X	AUD/USD	CCY	CURRENCY_PAIR
AUDCHF=X	AUD/CHF	CCY	CURRENCY_PAIR
AUDNZD=X	AUD/NZD	CCY	CURRENCY_PAIR
AUDEUR=X	AUD/EUR	CCY	CURRENCY_PAIR
AUDTWD=X	AUD/TWD	CCY	CURRENCY_PAIR
AUDMXN=X	AUD/MXN	CCY	CURRENCY_PAIR
AUDJPY=X	AUD/JPY	CCY	CURRENCY_PAIR
NZDJPY=X	NZD/JPY	CCY	CURRENCY_PAIR
EURXAF=X	EUR/XAF	CCY	CURRENCY_PAIR
EURPEN=X	EUR/PEN	CCY	CURRENCY_PAIR
EURBDT=X	EUR/BDT	CCY	CURRENCY_PAIR
CAD=X	USD/CAD	CCY	CURRENCY_PAIR
AZNUSD=X	AZN/USD	CCY	CURRENCY_PAIR
AZNCHF=X	AZN/CHF	CCY	CURRENCY_PAIR
AUDSCR=X	AUD/SCR	CCY	CURRENCY_PAIR
AUDMOP=X	AUD/MOP	CCY	CURRENCY_PAIR
AUDKRW=X	AUD/KRW	CCY	CURRENCY_PAIR
AUDHNL=X	AUD/HNL	CCY	CURRENCY_PAIR
AUDGIP=X	AUD/GIP	CCY	CURRENCY_PAIR
AUDGBP=X	AUD/GBP	CCY	CURRENCY_PAIR
AUDCZK=X	AUD/CZK	CCY	CURRENCY_PAIR
AUDCLP=X	AUD/CLP	CCY	CURRENCY_PAIR
AUDCAD=X	AUD/CAD	CCY	CURRENCY_PAIR
ARSKRW=X	ARS/KRW	CCY	CURRENCY_PAIR
ARSGBP=X	ARS/GBP	CCY	CURRENCY_PAIR
ALLGBP=X	ALL/GBP	CCY	CURRENCY_PAIR
AEDTWD=X	AED/TWD	CCY	CURRENCY_PAIR
AEDSEK=X	AED/SEK	CCY	CURRENCY_PAIR
AEDQAR=X	AED/QAR	CCY	CURRENCY_PAIR
AEDOMR=X	AED/OMR	CCY	CURRENCY_PAIR
AEDMXN=X	AED/MXN	CCY	CURRENCY_PAIR
AEDMAD=X	AED/MAD	CCY	CURRENCY_PAIR
AEDLTL=X	AED/LTL	CCY	CURRENCY_PAIR
AEDKWD=X	AED/KWD	CCY	CURRENCY_PAIR
AEDHKD=X	AED/HKD	CCY	CURRENCY_PAIR
AEDCNY=X	AED/CNY	CCY	CURRENCY_PAIR
AEDAUD=X	AED/AUD	CCY	CURRENCY_PAIR
AEDKRW=X	AED/KRW	CCY	CURRENCY_PAIR
