NOTE: Some of these tickers may no longer be supported

ticker	name	exchange	type
^MERV	MERVAL BUENOS AIRES	BUE	INDEX
^TA100	TA-125	TLV	INDEX
^ATX	ATX	VIE	INDEX
^DJU	Dow Jones Utility Average	DJI	INDEX
^AORD	ALL ORDINARIES	ASX	INDEX
^AEX	AEX-INDEX	AMS	INDEX
RTS.RS	RTSI INDEX	RUS	INDEX
^XAX	NYSE AMEX COMPOSITE INDEX	NYS	INDEX
399107.SZ	SHENZHEN INDEX A	SHZ	INDEX
^DJA	Dow Jones Composite Average	DJI	INDEX
^OSEAX	Oslo Bors All-share Index_GI	OSL	INDEX
^NWX	NYSE ARCA NETWORKING INDEX	NYS	INDEX
^TWOII	TOTC all stock subindex	TWO	INDEX
^NQASPA8000LMAUDN	NASDAQ ASPA Financials Large Mi	NIM	INDEX
^HUI	NYSE ARCA GOLD BUGS INDEX	NYS	INDEX
^FTAS	UK FTSE All Share	FSI	INDEX
^FTAI	FTSE AIM All-Share Index	FGI	INDEX
^DRG	NYSE ARCA PHARMACEUTICAL INDEX	NYS	INDEX
^AXJO	S&P/ASX 200	ASX	INDEX
^XBD	NYSE ARCA SECURITIES BROKER/DEA	NYS	INDEX
^BTK	NYSE ARCA BIOTECH INDEX	NYS	INDEX
^XMI	NYSE ARCA MAJOR MARKET INDEX	NYS	INDEX
^XABQ	ABA NASDAQ Community Bank Total	NIM	INDEX
^REIT	Dow Jones Equity All REIT Total	DJI	INDEX
^QAGR	NASDAQ OMX Global Agriculture	NIM	INDEX
^NQNA9000LMJPYN	NASDAQ N America Tech Large Mid	NIM	INDEX
^DAATR	NASDAQ US BROAD DIV ACHIEVR TR	NIM	INDEX
^AXSVTN			INDEX
^ABAQ	ABA Community Bank NASDAQ	NIM	INDEX
MICEXINDEXCF.ME	MICEX IND	MCX	INDEX
^VXAPL	CBOE EQUITY VIXON APPLE	WCB	INDEX
^SBF250	CAC ALL-TRADABLE	PAR	INDEX
^QIV	NASDAQ 100 After Hours Indicato	NIM	INDEX
^P1DOW	^P1DOW	DJI	INDEX
^OSTI	TOTC steel and iron subindex	TWO	INDEX
^OMXNORDICEURPI	OMX_Nordic_EUR_PI	STO	INDEX
^NQZALMZARN	NASDAQ South Africa Large Mid C	NIM	INDEX
^NQZALMCAD	NASDAQ South Africa Large Mid C	NIM	INDEX
^NQUSL8700AUDT	NQ US Lg Cap Financial Svcs AUD	NIM	INDEX
^NQUSBLMAUDT	NASDAQ US Large Mid Cap AUD TR	NIM	INDEX
^NQUSBLMAUDN	NASDAQ US Large Mid Cap AUD NT	NIM	INDEX
^NQUSB8777LMAUDN	NQ US Inv Svcs Large Mid Cap A	NIM	INDEX
^NQUSB8777LMAUD	NQ US Inv Svcs Large Mid Cap A	NIM	INDEX
^NQUSB5371LMJPYN	NQ US Apparel Rtlrs Large Mid	NIM	INDEX
^NQUSB5371LMJPY	NQ US Apparel Rtlrs Large Mid	NIM	INDEX
^NQUSB3763LMGBPT	NQ US Clothing & Accessories L	NIM	INDEX
